Country Code,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Agricultural land (% of land area),"Air transport, passengers carried",Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",Exports of goods and services (% of GDP),GDP (constant 2015 US$),"Life expectancy at birth, total (years)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
FJI,51.4,92.1,26.843,17.05528188286809,133708.0,250.02554321,8.859,27.253328387921265,4115996320.434257,67.114,4.797
FRA,100.0,100.0,9.529,52.14754628285274,32000528.0,5380.875,9.8,30.034994352784324,2575192242890.6133,82.32439024390244,7.86
GBR,100.0,100.0,10.541,71.15752903732485,26631932.0,5738.48486328,9.7,29.59731252728124,3075810468184.3213,80.7,4.826
GEO,90.6,100.0,31.654,34.24809325082745,84591.0,417.0,15.166,43.18690616133319,18289872262.532494,71.694,11.851
GHA,30.3,86.3,64.176,55.39301991359496,559393.0,100.00096893,7.627,30.05511946962312,65973349075.91879,63.795,3.557
GNQ,24.1,66.786994934082,139.706,3.740463458110517,31268.0,255.56524658,9.042,48.33726979517158,9594971477.672705,60.594,9.187
GRC,100.0,100.0,8.479,45.51736229635377,8726345.0,1845.77563477,13.6,40.941799607210726,200401577457.9784,80.0829268292683,14.66
GTM,48.1,97.8656539916992,64.054,43.03844718178424,1766.181,340.95812988,6.504,17.7121044581955,75089954137.26227,69.237,2.17
HIC,99.98797651744144,99.97833877285184,11.157227554353016,34.826857224594,1248853437.068,6448.552447658401,10.038697681938109,31.77774037422713,53046216365250.84,79.86569801556735,5.659614140279483
HND,49.5,94.131591796875,71.972,31.959960675663595,271314.0,253.91804504,5.608,38.79819141606638,24956150020.08044,70.123,8.23
HPC,14.966349278492846,48.04843016403989,100.99999038537464,40.65161628548383,19149959.028,51.86479739716376,7.878104057119123,23.00495587978688,831798254056.4811,62.30278539996224,5.373994267074417
HRV,100.0,100.0,8.637,26.375982844889208,767762.0,1384.0,16.2,49.72776563111172,60220479616.66558,76.42439024390245,7.61
HTI,4.3,47.1803321838379,52.545,65.13062409288824,23119.0,57.87849426,8.676,7.137551003075347,14704149789.522455,63.192,15.558
HUN,100.0,100.0,22.148,55.26724304185843,20127200.0,1382.0,16.1,79.94990011309459,150668858797.31152,74.16341463414635,4.05
IBD,81.67820485461512,99.10323062025498,26.837091671758984,35.917662587009,1017417664.003,413.37663394106863,8.68271903937558,25.950928211066227,32864015056704.543,72.13815401096416,6.277985161548612
IBT,66.73527841545669,90.0980679028731,46.3867767597925,37.479641945236,1057614059.294,321.4333552506505,8.5302369001355,25.45946349018791,35445566260762.2,69.78973597530383,6.161855239959944
IDA,26.217549558117565,65.58440632638832,82.7429708013698,41.8987444834941,40196395.291,61.16210702218963,8.115565115731787,19.120480898642597,2581334338863.267,63.40328890181129,5.774481466594733
IDN,86.9,99.21,33.929,34.1337419293713,33549828.0,160.64176941,10.065,21.408123110188235,1065710871623.659,67.57,3.83
IDX,21.693379761038702,60.12763358492556,88.7967919570804,41.247263652798345,24648913.701,55.33622760564264,7.505236506072401,20.45408150144959,1367391655181.8037,64.74778514269326,5.690713571863672
IND,71.1,99.5725250244141,17.234,60.04592642918885,83964797.0,74.0,9.448,21.51438859881975,2761585207048.942,67.24,6.38
IRL,100.0,100.0,5.941,62.95543620264189,74065210.0,6764.25878906,6.8,133.73935556991373,455950283775.4216,82.35365853658537,6.19
IRN,96.4,100.0,30.155,29.00893682588598,13695897.024,392.54144287,6.437,22.83923198895667,469947053431.5109,73.875,9.28
IRQ,99.3,100.0,62.192,21.707883389230823,1620013.0,248.92311096,4.753,37.68111000149728,180289503247.9839,70.378,16.17
ISL,100.0,100.0,5.395,18.56590300505802,1499034.0,6716.0,6.3,37.34584409216031,20101217708.467026,83.16585365853659,6.03
ISR,100.0,100.0,7.614,29.7365988909427,2437207.0,4339.0,5.4,29.397271109052877,382099815616.8264,82.50000000000001,4.81
ITA,100.0,100.0,3.993,41.94223159304335,2449339.0,3350.0,11.9,32.06923279325068,1891178258127.577,82.64634146341464,9.5
JPN,100.0,100.0,2.903,12.781893004115227,45410146.0,4347.0,11.7,18.12547663523664,4487015645273.131,84.44560975609757,2.83
KAZ,93.9,100.0,21.877,79.19246582953662,8765001.0,403.0,9.61,33.644862124162394,214679925583.06857,70.23,5.572
KEN,23.9,76.5424499511719,64.185,48.687493411111504,2459106.0,94.67254639,8.056,10.77418121659887,90413816676.97952,61.427,5.69
KHM,44.5,82.5017166137695,45.453,34.552117040561974,50217.459,122.41645813,6.838,66.75446212245005,23721258226.499096,69.584,0.4
KOR,100.0,100.0,2.211,16.424180327868854,34020088.0,3260.44873047,6.2,41.87722950478043,1696543311942.809,83.52682926829269,3.64
LAC,88.08128404366344,98.12087083022752,52.5633835394848,34.04437825543643,167162390.56199998,637.7783428793242,8.464602065065838,26.247819552691936,4801814128719.902,71.907356144081,9.271610407041862
LCN,88.93736185383715,98.25931565255752,53.22469891917225,32.957395546878125,187704362.696,656.2994327870134,8.435165287403997,27.417284844180184,5623452872555.371,72.14846052547021,9.19976986672606
LDC,18.86874332798552,56.21916337165947,93.77534686378344,40.30346394503234,21246706.42599999,47.12790362005827,7.602688508223055,20.489096751273816,1124406063435.7458,64.21049048576913,6.028839074569153
LIC,16.15591398045608,44.80975501851288,95.63627574701978,41.98905889164077,11917901.427,36.50028655819541,7.963382773013218,20.718653652082995,482640481735.0433,62.496109508006576,6.107516084525362
LKA,32.6,100.0,15.65,45.45748464274168,871685.0,166.0,7.36,16.93312873706882,95968130823.05203,76.399,5.306
LMC,59.671171578244,91.12849069643018,44.45886351733579,42.058380100545136,172341542.775,104.35693619488966,8.651165556430739,25.564534090187877,7118555521979.624,66.91212392855293,6.236912861935842
LMY,65.9907171454741,89.80147970745526,46.265571393266086,37.71799627038397,1030856057.055,309.50649867987306,8.484167589929582,24.56683135432089,33918923741443.18,69.72983484965913,6.146802389539662
LTE,84.83236006462502,99.41329347785698,19.90572249904333,34.42115570929251,823261040.48,688.2417881233602,8.212882048291155,29.71227757200088,24238733304759.04,76.36973001294642,5.519012759631104
LTU,100.0,100.0,10.377,46.92221689825906,11289.0,1859.0,17.0,80.06601566869088,51234439417.26599,74.03658536585367,7.11
LUX,100.0,100.0,4.304,51.587905813257926,1081478.0,7636.0,7.0,213.2226786691037,70679635853.89018,82.59756097560975,5.25
LVA,100.0,100.0,11.216,31.65675719106541,1598685.0,1898.0,18.4,64.59124088291644,31059267821.59022,72.98048780487807,7.51
MAR,98.2,100.0,25.936,67.87138695944432,4740714.0,221.11485291,6.17,33.183811121910814,123982113010.80888,74.042,11.219
MDA,97.6,100.0,27.795,69.00212314225053,528581.0,410.0,16.36,30.648787712689828,9575037162.285015,68.846,0.79
MDG,1.4,35.1209335327148,119.429,70.29047782743211,109461.4,17.64008904,7.104,22.77428988270323,12947986307.587511,64.485,2.246
MEX,84.6,100.0,54.369,49.9632192186013,54217876.0,610.64532471,9.406,40.67865942465848,1236698568609.3638,70.213,4.09
MIC,71.7712168651065,94.99898720897706,38.32073665228637,36.91963167345381,1018938155.628,336.66933730052835,8.544311277613142,24.63300223647095,33436267113850.47,70.56523600799956,6.150645645126548
MLT,100.0,100.0,11.484,27.34375,597724.0,3642.0,8.0,166.44194997672426,15091314827.587498,82.50731707317074,3.39
MNA,95.27069657292256,96.84853074561212,38.11455069759789,22.96998708025897,34236890.342,257.3886557463824,5.942239892124047,25.325158317099977,1622153361292.1626,71.89987572574371,11.898298714041417
MNE,62.0,99.7984313964844,10.361,19.00074349442379,1589.285,985.0,14.8,42.83435544193113,4576160079.608025,73.82439024390244,16.54
MNG,53.0,100.0,26.708,72.31505219559206,61614.0,315.57980347,6.131,58.54886395409158,13749955731.693554,70.975,7.75
MRT,48.3,47.6958427429199,78.013,38.52721451440768,207225.0,89.28845215,7.44,39.85602326430251,7198481880.569772,64.364,11.331
MUS,98.9,99.6,24.564,43.064596895343016,153242.0,564.90075684,10.5,44.20173472818902,12257000315.946474,73.68024390243903,7.72
MYS,93.8,100.0,9.271,26.08735352305585,4965360.963,487.00881958,6.034,70.62406103002145,356073661872.22406,74.884,4.083
NAC,100.0,100.0,15.185777861470758,25.802696483653648,691104000.0,11440.051418045425,10.17305979726563,12.555485142313438,22232330531648.43,76.87251367931634,5.5941556853433125
NAM,47.3,55.2253189086914,64.944,47.14256215914198,2245.772,456.43600464,10.709,31.85758494887081,10699464453.16975,59.269,21.148
NER,3.0,18.6,170.462,36.78455830109734,15019.2,34.34204865,8.141,9.99372066907312,12821067681.330477,61.576,0.862
NLD,100.0,100.0,2.804,53.816453816453816,19349165.526,6539.0,9.8,84.10520717630749,857602880650.9282,81.30975609756098,4.21
NPL,35.2,89.9,63.837,28.7478200209278,2550505.0,65.0,7.776,5.119171484826062,31325711842.659355,68.45,12.581
NZL,100.0,100.0,12.63,38.64266453989594,8729634.719,4906.07080078,6.83,22.151735819916468,212031027040.22037,82.20731707317074,3.78
OED,98.02857704251932,99.99996648070152,19.22000119384143,33.92086978348014,1302098734.9340005,5653.049362269139,9.940903145313536,28.351155399447165,52242031060939.77,78.66611958665183,6.199966965845612
OMN,100.0,100.0,9.944,4.737382875605816,2075390.0,852.62341309,3.796,52.526601936401576,82728063877.99826,72.541,1.9
PAK,50.7,94.9228591918945,42.269,47.09293275217933,4930661.98,43.09069443,7.168,9.051600461886526,381973779235.2997,66.098,6.34
PER,85.5,95.6,56.756,19.93413203125,9053965.0,412.20855713,7.988,29.493209115025188,217360058893.3228,72.377,5.1
PHL,48.0,97.4899749755859,48.202,42.536137102994935,6886922.0,203.0,7.311,25.75203378339869,378998555006.4499,69.266,3.4
POL,100.0,100.0,9.653,47.368376347598826,3676185.0,1159.0,13.8,57.69934427899193,598791351638.1482,75.50243902439024,3.36
PRE,19.57739687128675,50.52705270243913,105.9511573114528,42.63856879379631,15075193.281,65.45491330954286,9.059701397143982,24.290670015652125,1447664846689.965,59.87258063232004,6.186062507956543
PRT,100.0,100.0,7.444,43.253856751115656,8056494.578,2747.0,12.0,41.401715074734206,215604085361.88385,81.3780487804878,6.58
PRY,69.8,100.0,70.347,42.308431915429146,111964.0,478.70828247,7.638,35.48709251015914,41964030301.44241,70.262,7.31
PSS,31.564594244886877,85.86980687793617,44.02041885886717,11.777240841777084,449526.842,236.2619090075248,6.754131212259908,21.87457322341096,8784676268.326246,69.16359418284318,3.702551047897357
PST,99.57416937029966,99.99876805866802,10.757225818786354,33.581566465414504,1067970234.934,6836.052974428616,10.817600012639424,29.02598344379405,48712386012388.65,79.73812815736834,5.79606301058922
QAT,100.0,100.0,7.069,6.440382941688425,14832936.0,1934.0802002,1.311,58.72601703551407,164042828071.65668,79.272,0.14
ROU,100.0,100.0,36.376,56.84544506258693,2719206.0,963.0,17.5,40.590996575700174,221957437273.542,72.80975609756098,5.59
RUS,72.9,100.0,14.988,13.158436257966263,96851769.0,936.0,16.7,29.89489633763258,1502645054025.0068,69.90024390243903,4.72
RWA,5.4,48.7004356384277,32.444,81.25091203891365,715763.609,60.2185936,6.28,19.54531937262839,11977699337.24215,66.072,15.79
SAS,62.89271347791829,98.76807242744611,28.895252240910374,56.74151761381265,96661876.408,70.17662494970702,8.737008746861823,19.015201090683,3579868538486.5376,67.5791290463818,6.393256724493899
SAU,100.0,100.0,11.937,80.77304169438383,29403732.0,1441.9987793,2.864,32.7746501858834,708159697795.5215,76.936,6.62
